file name,seed,mean,95 percent,worst
re_03.csv,1991,44.070396,153.908905,635.340088
re_03.csv,202205,38.390833,127.486763,461.506409
re_03.csv,20220502,36.181022,119.609326,417.212646
re_05.csv,1991,72.458083,200.62645,682.370972
re_05.csv,202205,69.632297,195.38652,722.500793
re_05.csv,20220502,62.286233,189.611908,681.481689
re_07.csv,1991,102.54225,279.829001,403.359314
re_07.csv,202205,101.269106,277.359833,383.088501
re_07.csv,20220502,97.269477,256.790091,393.561096
re_09.csv,1991,74.187414,233.120258,345.966095
re_09.csv,202205,61.719267,217.489136,282.142944
re_09.csv,20220502,66.295962,218.39079,357.828976
re_11.csv,1991,73.515613,173.76904,256.04068
re_11.csv,202205,72.39545,173.78349,250.534058
re_11.csv,20220502,77.284611,169.578593,479.209839
re_13.csv,1991,78.904904,187.986584,1234.868896
re_13.csv,202205,67.732608,175.469769,1033.291138
re_13.csv,20220502,72.536467,186.652722,1131.119965
re_15.csv,1991,30.081932,72.192957,666.728333
re_15.csv,202205,30.501882,81.876637,530.619957
re_15.csv,20220502,31.497101,81.121907,569.709229
re_17.csv,1991,47.182814,165.713745,792.886002
re_17.csv,202205,46.263674,149.738332,731.894821
re_17.csv,20220502,40.756925,154.785481,527.150238
re_19.csv,1991,66.296486,147.051294,362.651215
re_19.csv,202205,68.173675,148.990753,398.564697
re_19.csv,20220502,66.363532,148.165314,231.123535
re_21.csv,1991,187.590933,400.004028,1003.438843
re_21.csv,202205,140.221649,339.248047,883.142578
re_21.csv,20220502,140.045653,340.149292,881.049072
re_23.csv,1991,58.114515,148.406949,248.848969
re_23.csv,202205,61.202494,159.874387,232.55722
re_23.csv,20220502,61.451581,154.44715,254.829559
re_25.csv,1991,67.207568,168.640759,239.333496
re_25.csv,202205,64.492834,172.281293,227.537292
re_25.csv,20220502,68.288264,178.944473,241.090881
re_27.csv,1991,184.943473,358.735925,424.241516
re_27.csv,202205,179.141475,362.764856,407.798157
re_27.csv,20220502,183.723381,355.963379,402.080048
re_29.csv,1991,97.106336,264.434329,533.804016
re_29.csv,202205,100.298205,248.785944,316.269897
re_29.csv,20220502,97.035045,226.840192,306.520386
re_31.csv,1991,62.755681,168.978296,255.860474
re_31.csv,202205,66.811864,178.815015,576.246338
re_31.csv,20220502,64.348019,179.063202,384.724426
re_33.csv,1991,72.310901,171.650293,1001.054764
re_33.csv,202205,73.916312,174.716687,883.250641
re_33.csv,20220502,74.398359,174.507544,1004.956055
re_35.csv,1991,84.513691,199.819092,460.319031
re_35.csv,202205,88.607672,200.468262,600.042908
re_35.csv,20220502,82.172749,205.77301,667.070984
re_37.csv,1991,197.373843,422.971649,460.051117
re_37.csv,202205,172.196482,380.49646,460.019226
re_37.csv,20220502,223.302252,431.105438,460.041229
re_39.csv,1991,100.512654,280.756061,321.693573
re_39.csv,202205,106.823549,285.066217,325.011963
re_39.csv,20220502,99.162826,270.040253,325.007172
re_41.csv,1991,36.472735,93.267105,178.951385
re_41.csv,202205,30.948702,95.53273,279.713715
re_41.csv,20220502,35.701995,100.124582,220.150116
re_43.csv,1991,48.969179,126.530621,340.59454
re_43.csv,202205,53.431707,136.788269,334.735077
re_43.csv,20220502,51.993594,128.296765,259.902679
re_45.csv,1991,57.522992,153.420764,445.065277
re_45.csv,202205,58.191891,157.964389,272.123383
re_45.csv,20220502,58.946012,156.289935,289.435674
re_47.csv,1991,85.365316,234.648752,515.649384
re_47.csv,202205,87.053661,243.97536,574.780426
re_47.csv,20220502,86.062568,241.740204,312.232895
re_49.csv,1991,107.38441,237.661957,392.701233
re_49.csv,202205,105.697739,236.297836,772.698639
re_49.csv,20220502,104.469123,231.80307,594.610718
re_51.csv,1991,42.871907,108.65791,444.856323
re_51.csv,202205,54.43586,144.821674,671.321472
re_51.csv,20220502,81.096802,265.585739,657.863403
re_53.csv,1991,85.661649,310.806616,612.202271
re_53.csv,202205,86.632542,291.652698,655.032776
re_53.csv,20220502,81.68875,295.327368,575.917419
up_06.csv,1991,40.143244,104.345871,717.684296
up_06.csv,202205,38.159969,113.017474,605.04657
up_06.csv,20220502,41.08559,118.423309,675.483032
up_08.csv,1991,49.595849,151.570581,424.301453
up_08.csv,202205,45.56198,156.24375,486.786499
up_08.csv,20220502,46.594729,147.883521,346.080444
up_10.csv,1991,97.673327,239.122025,357.856995
up_10.csv,202205,95.086535,232.053986,317.000488
up_10.csv,20220502,91.809631,213.78949,302.583618
up_12.csv,1991,72.563471,182.374976,396.577087
up_12.csv,202205,70.737212,181.106799,247.975708
up_12.csv,20220502,72.578614,183.618677,334.430725
up_14.csv,1991,73.386627,185.91662,302.059814
up_14.csv,202205,68.722149,177.145398,325.865662
up_14.csv,20220502,68.108694,182.558452,294.412598
up_16.csv,1991,70.305416,204.664847,590.812622
up_16.csv,202205,71.337397,216.940646,655.342621
up_16.csv,20220502,77.153266,211.687225,818.886719
up_18.csv,1991,28.874728,88.95435,566.511215
up_18.csv,202205,27.580729,83.775062,274.276184
up_18.csv,20220502,26.131457,78.122371,332.272034
up_20.csv,1991,40.544406,121.819092,796.951172
up_20.csv,202205,38.534595,111.714539,657.135864
up_20.csv,20220502,38.927919,113.348022,679.575012
up_22.csv,1991,64.91755,175.484753,237.905075
up_22.csv,202205,65.262569,176.679131,244.153717
up_22.csv,20220502,63.080166,182.664593,239.414337
up_24.csv,1991,126.488449,340.326221,444.790405
up_24.csv,202205,135.739173,338.769238,1108.986877
up_24.csv,20220502,135.431372,344.667578,696.683105
up_26.csv,1991,71.42759,176.698389,412.909424
up_26.csv,202205,68.744308,168.001021,229.236816
up_26.csv,20220502,70.230754,166.378149,385.041077
up_28.csv,1991,73.177348,194.788525,493.477539
up_28.csv,202205,71.642894,184.733893,491.615356
up_28.csv,20220502,69.146166,187.043036,522.613098
up_30.csv,1991,161.983609,337.756537,407.023254
up_30.csv,202205,160.431775,352.114487,408.672791
up_30.csv,20220502,146.321939,341.34678,415.530487
up_32.csv,1991,108.576099,318.126675,484.978241
up_32.csv,202205,97.407511,298.127884,402.047607
up_32.csv,20220502,104.204948,300.644598,738.177521
up_34.csv,1991,63.495068,205.804184,338.033875
up_34.csv,202205,79.592009,245.424107,322.643494
up_34.csv,20220502,60.553464,191.575157,479.627205
up_36.csv,1991,70.766155,191.196619,307.705261
up_36.csv,202205,79.299154,207.141967,270.210297
up_36.csv,20220502,72.0051,187.964514,254.840027
up_38.csv,1991,88.321264,217.648134,303.550049
up_38.csv,202205,89.344006,241.182489,308.408386
up_38.csv,20220502,76.289067,230.860847,287.464508
up_40.csv,1991,83.344083,211.464899,492.018494
up_40.csv,202205,84.656785,197.832654,555.689331
up_40.csv,20220502,85.083512,210.387332,450.080078
up_42.csv,1991,93.268882,247.445801,342.551239
up_42.csv,202205,100.730733,260.552548,358.578827
up_42.csv,20220502,93.506768,250.688208,333.868713
up_44.csv,1991,30.887954,82.239017,320.550232
up_44.csv,202205,27.401705,76.328449,120.525696
up_44.csv,20220502,27.590122,73.297136,110.139191
up_46.csv,1991,42.895605,138.005151,196.794983
up_46.csv,202205,45.538955,160.331764,241.27536
up_46.csv,20220502,48.921574,141.747704,634.320496
up_48.csv,1991,57.176965,173.277447,236.530151
up_48.csv,202205,62.701513,170.227179,313.712997
up_48.csv,20220502,64.599297,179.582054,591.852127
up_50.csv,1991,99.984355,274.313396,484.502502
up_50.csv,202205,93.449171,283.460358,560.292603
up_50.csv,20220502,96.474177,259.874287,452.185059
up_52.csv,1991,94.043045,238.142294,380.254242
up_52.csv,202205,91.682904,238.886113,345.673706
up_52.csv,20220502,93.198636,252.817999,380.980621
up_54.csv,1991,84.77962,298.187918,735.610535
up_54.csv,202205,88.489566,286.909636,730.861816
up_54.csv,20220502,80.062078,275.053348,724.121155
up_56.csv,1991,73.096341,305.256805,808.747986
up_56.csv,202205,76.899576,272.213562,560.418579
up_56.csv,20220502,72.805541,255.609055,374.72998
,,78.55644815,207.6853021,472.6262674
